Timestamp,Answer the following question. [Medical education  during M.B.B.S  has great impact on the  personality of medical student .],"Answer the following question. [While studying in medical college , I become emotionally intelligent .]",Answer the following question. [Lots of stress and tension associated with tough medical studies is  experienced during life in medical college],"Answer the following question. [Health issues ,home sickness &  improper routine life pattern are associated with life in hostel of medical college .]","Answer the following question. [Patient care , help the needy and team work learned during medical college life]",Answer the following question. [Parent relationship & bonding with Allah become strong during medical studies],Answer the following question. [Mental health is badly affected during medical studies],"Answer the following question. [Self -Carelessness, addiction of tea and coffee , poor eating habbits , fear of failure are gifts of medical life in medical college]","Answer the following question. [Social work , peer relationship , helping others are developed during medical life in medical college.]",Answer the following question. [My teachers had great influence on my personality],Answer the following question. [Faculty members of medical college guide me a lot regarding studies and my life],Answer the following question. [My life is totally changed after entering in medical college regarding my personality],Answer the following question. [Faculty members of medical college focused on conceptual studies and clinical application of medical knowledge .],Answer the following question. [Some of my teachers are my role model for my medical profession],"Answer the following question. [Medical education in medical college   helped me in becoming  well behaved, stable  and matured personality .]",Answer the following question. [Medical education not only enhanced my medical knowledge but also make be able to become part of  most noble profession .],Answer the following question. [Medical education in medical college polished my personality and now I find myself most respectable family member.],"Answer the following question. [Few faculty members of medical college had point out my bad habbits which was turning point of life, after their counselling now I was able to get rid of that bad habbits .]",Answer the following question. [I feel that medical education have positive impact on my life .],Give your comments regarding influence of medical education on your personality .
2023/01/01 11:28:28 AM GMT+5,A,A,A,A,A,A,A,A,A,A,A,A,SA,A,A,A,A,SA,A,It has changed me a lot but mostly in good ways.
2023/01/01 1:16:35 PM GMT+5,SA,A,N,SA,DA,N,A,SA,N,A,N,N,N,A,A,A,N,N,A,Positive
2023/01/01 2:22:32 PM GMT+5,SA,N,SA,SA,SA,SA,SA,SA,A,A,N,A,N,A,A,A,N,N,A,No comments...
2023/01/01 2:56:31 PM GMT+5,A,A,A,SA,A,SA,N,SA,A,A,A,A,N,SA,A,A,A,DA,A,.
2023/01/01 3:04:21 PM GMT+5,DA,SA,SA,SA,SA,SA,A,DA,N,N,A,N,A,N,N,A,DA,N,SDA,"In short,  I got entered in medical college due to social and parental pressure 
Medical education didn't affected my personality much in positive way 
In fact it has very adverse effect on my mental health and wellbeing as I had no interest in making it my profession and now I have to 
I feel as medical college is eating me up"
2023/01/01 7:13:36 PM GMT+5,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,I became independent enthusiastic stable
2023/01/01 7:25:35 PM GMT+5,SA,DA,SA,N,SA,SA,SA,SA,SA,A,DA,N,A,SA,N,SA,A,SA,A,"No comments, just the order of our honourable madam dr fauzia "
2023/01/01 8:06:00 PM GMT+5,A,A,DA,N,A,A,A,N,A,A,N,A,N,A,A,A,A,N,A,Great influence in personality building and making my nerves strong
2023/01/01 9:25:51 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,A,SA,N,SA,SA,DA,SA,Totally changed
2023/01/01 10:18:14 PM GMT+5,A,N,A,N,N,SA,A,N,DA,A,DA,A,A,A,A,A,N,SDA,A,"I feel it makes you considerate for the patient in general at the same time making you insensitive to many human feelings.
Faculty appreciation plays a major role in you performance and personality boost, it is directly proportional to their expectations of you. If they ecpect better for you, they show it and then u naturally start working to better yourself ultimately gaining confidence (plus for personality)"
2023/01/01 10:43:14 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,A,SA,Medical education has changed my thinking and my life style
2023/01/02 5:09:55 AM GMT+5,SA,A,N,N,N,A,N,SDA,SDA,SDA,SDA,SDA,SDA,SDA,SDA,SDA,SDA,SDA,SDA,.
2023/01/02 9:09:32 AM GMT+5,SA,A,SA,N,A,N,SA,SA,A,N,SA,SA,A,A,N,A,SA,SA,SA,Good
2023/01/02 10:23:15 AM GMT+5,N,A,A,A,A,A,SA,A,N,N,N,A,A,N,A,N,N,N,N,Its Great
2023/01/02 11:24:46 AM GMT+5,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,"Good
"
2023/01/02 2:53:19 PM GMT+5,SA,SA,N,A,A,SA,N,SA,A,SA,A,SA,A,A,A,A,A,A,A,.
2023/01/02 4:48:35 PM GMT+5,A,N,SA,DA,A,SA,SA,SA,A,SA,SA,SA,A,SA,A,SA,A,DA,SA,"
The goal of basic medical education is to ensure that medical students have acquired the knowledge, skills, and professional behaviors that prepare them for a spectrum of career choices, including, but not limited to, patient care, public health, clinical or basic research, leadership and management, or medical"
2023/01/02 8:30:26 PM GMT+5,SDA,SDA,SDA,SDA,SDA,SDA,DA,DA,DA,SDA,SDA,DA,DA,SDA,SDA,SDA,SDA,SDA,SDA,I admire many teachers in my medical college . They are my role models ! I became emotionally stronged .
2023/01/02 10:26:46 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Makes you a better human being. 
2023/01/02 10:31:50 PM GMT+5,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Nothing
2023/01/02 10:37:34 PM GMT+5,SA,N,SA,SA,SA,A,A,SA,SA,SA,A,SA,A,A,A,A,A,A,A,it greatly effects mental health
2023/01/02 11:49:22 PM GMT+5,SA,A,SA,A,SA,SA,SA,SA,A,N,N,A,A,N,A,A,SA,DA,SA,Medical education let me see the world through a new lens understand peoples emotions and their health conditions better allowed me to Better cope with stress .
2023/01/03 11:59:53 PM GMT+5,SA,A,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,Positive impact 
2023/01/04 7:40:52 PM GMT+5,SA,SA,A,DA,SA,SA,N,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,DA,A,"This changed my perception and helped me excel  in my field .
My teachers were very cooperative with me"
