Timestamp,Attempt The Questions. [Q1-Did you feel that counselling and guidance by faculty members improved your academic performance],Attempt The Questions. [Q2-Do you think counselling and guidance by faculty members is required to cope difficult schedule of medical education],Attempt The Questions. [Q3 Did vigilance of faculty members help you in improving attendance % during session],Attempt The Questions. [Q4 Did vigilance of faculty members help you in improving grades during routine module exams],Attempt The Questions. [Q5-Guidance and training  by faculty members  regarding professional written  exam (seq & mcq) and viva helped you a lot],Attempt The Questions. [Q6- Do you think that personal experiences of faculty members( shared with students  regarding studies and exams ) guide you a lot],Attempt The Questions. [Q7-Did counselling  and guidance of faculty member help you regarding  time management],Attempt The Questions. [Q8-Did counselling of faculty member help you in solving your day to day SOCIAL   problems],Attempt The Questions. [Q9- Did counselling of faculty member help you in solving your day to day domestic  problems],Attempt The Questions. [Q10- Did you find your medical teacher guiding you whenever you get detracked in studies],"Attempt The Questions. [Q11 Did  guidance of your teachers  help you in scoring (position, distinction )in professional or module exams]",Attempt The Questions. [Q12-Career Counselling of medical students should be practiced in medical colleges ?],Give your comments about your perception regarding student counselling as a supportive tool . 
11/19/2022 12:21:46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,"Counselling is a powerful way to show the students the way, then it’s their responsibility to choose the right way and follow it."
11/19/2022 12:30:33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,All students should be counselled at individual level.
11/19/2022 12:31:24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I feel counselling helps a lot. When a student realizes he or she has certain expectations attached from him or her self they then act accordingly . This is similar to Flemings law . 
11/19/2022 13:09:59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,I think counselling is always an important part when we r at any level of life besides it appreciation is the best thing to improve the student capability i think everyone’s desire is to seek appreciation from anything she or he does
11/19/2022 13:35:48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,guidance of teachers should be practiced in medical colleges for career counselling of Students. 
11/19/2022 14:07:02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No comment
11/19/2022 16:34:08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yeas ,it os"
11/19/2022 19:25:28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"It’s a must in our everyday as it gives us confidence , shades our personality and makes us into a better human being"
11/19/2022 21:30:01,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No comments 
11/19/2022 21:38:05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,"student counselling is a very important part of a medical students life especially. keeping in mind the current state of employment in our country for doctors, it is very important that students have proper counselling in order to chose a suitable career path.  "
11/19/2022 23:16:58,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
11/19/2022 23:21:46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,A counsellor can help us identify our faults and cope with the challenges based on proven techniques 
11/19/2022 23:22:50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Counseling supports alot to upleft the studies
11/19/2022 23:37:28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,It's a really working tool..
11/19/2022 23:44:06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,It’s a really important and crucial part of education. It should be implemented more and more awareness should be raised on counselling students.
11/20/2022 0:14:55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,It really helps students to improve in term of grades and perception about life.
11/20/2022 5:32:39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,It helps the students to stay confident and determined throughout the academic period 
11/20/2022 12:10:46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes it is too much important especially for students having no medical backgroung their maximum time is wasted in understanding how to utilize full potential while performing in med school.
11/20/2022 14:33:55,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,It is necessary especially about their career
11/20/2022 18:40:28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,most important factor 
11/21/2022 20:00:07,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Guidance is important but it should be done with leniency.
11/21/2022 20:57:32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,I guess it is the best thing in our medical career
11/22/2022 7:52:54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Teacher should be polite and not aggressive andnot use bad words to insult students 
11/22/2022 12:06:54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,","
11/22/2022 15:39:00,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,"The counselling part is very less in our academic institutes, that should be encouraged beacuse besides all it helps alot in studies and getting a studied back to the track from distractions "
